edition,company_id,slug,url,name,city
2026,1041209,salon-pet-groomer,https://www.top100ofromania.eu/company/1041209/salon-pet-groomer,Salon PET GROOMER,București
2026,5046425,frizerie-canina-craiova-grooming-pets-spa-by-ana-maria-constantinescu-coafor-canin-craiova,https://www.top100ofromania.eu/company/5046425/frizerie-canina-craiova-grooming-pets-spa-by-ana-maria-constantinescu-coafor-canin-craiova,Frizerie canina Craiova-Grooming Pets & Spa,Craiova
2026,1035599,salon-frizerie-canina-brasov-aras-si-nitup,https://www.top100ofromania.eu/company/1035599/salon-frizerie-canina-brasov-aras-si-nitup,Salon frizerie canina Brasov Aras si Nitup,Brasov
2026,1041062,salon-benji-toaletaj-canin-arad,https://www.top100ofromania.eu/company/1041062/salon-benji-toaletaj-canin-arad,Salon Benji - Toaletaj Canin Arad,Arad
2026,1038623,frizerie-canina-labute-rasfatate,https://www.top100ofromania.eu/company/1038623/frizerie-canina-labute-rasfatate,Frizerie Canina Labute Rasfatate,Mediaș
2026,1041071,salon-canin-baia-mare-canin-gold-style,https://www.top100ofromania.eu/company/1041071/salon-canin-baia-mare-canin-gold-style,"Salon canin Baia Mare ""Canin Gold Style""",Baia Mare
2026,1038629,frizerie-canina-pet-life-brasov,https://www.top100ofromania.eu/company/1038629/frizerie-canina-pet-life-brasov,Frizerie canina PET LIFE Brasov,Săcele
2026,5046021,groomers-by-sanitavet,https://www.top100ofromania.eu/company/5046021/groomers-by-sanitavet,Groomers by SanitaVet,București
2026,5727644,aremi-pets-salon-grooming,https://www.top100ofromania.eu/company/5727644/aremi-pets-salon-grooming,Aremi Pets - Salon Grooming,Iași
2026,1035505,codite-fericite-salon-cosmetica-felina-si-canina,https://www.top100ofromania.eu/company/1035505/codite-fericite-salon-cosmetica-felina-si-canina,Codite fericite-salon cosmetica felina si canina,Giroc
2026,7738480,groomerie,https://www.top100ofromania.eu/company/7738480/groomerie,Groomerie,București
2026,1035598,salon-de-coafura-canina-igor-land-timisoara,https://www.top100ofromania.eu/company/1035598/salon-de-coafura-canina-igor-land-timisoara,Salon de coafura canina Igor Land Timisoara,Timisoara
2026,1041332,sc-magictime-grooming-spa,https://www.top100ofromania.eu/company/1041332/sc-magictime-grooming-spa,SC. MagicTime Grooming & Spa,Calea Bucureștilor nr. 96
2026,7739073,la-pako-frizerie-canina,https://www.top100ofromania.eu/company/7739073/la-pako-frizerie-canina,La Pako Frizerie Canină,Bacău
2026,1040289,pet-groom-timisoara,https://www.top100ofromania.eu/company/1040289/pet-groom-timisoara,Pet Groom Timisoara,Timișoara
2026,1038934,groom-land-academy-curs-coafor-canin,https://www.top100ofromania.eu/company/1038934/groom-land-academy-curs-coafor-canin,Groom Land Academy- Curs Coafor Canin,Craiova
2026,5727467,organic-pet-grooming,https://www.top100ofromania.eu/company/5727467/organic-pet-grooming,Organic Pet Grooming,Timișoara
2026,5727075,city-pet-grooming,https://www.top100ofromania.eu/company/5727075/city-pet-grooming,City Pet Grooming,București
2026,1038930,groomer-salon-de-cosmetica-felina-si-canina,https://www.top100ofromania.eu/company/1038930/groomer-salon-de-cosmetica-felina-si-canina,Groomer - Salon de cosmetica felina si canina,București
2026,5044590,dogzilla-grooming-spa,https://www.top100ofromania.eu/company/5044590/dogzilla-grooming-spa,Dogzilla Grooming & Spa,București
2026,6919827,coafor-caini-ploiesti,https://www.top100ofromania.eu/company/6919827/coafor-caini-ploiesti,Coafor Câini Ploiești,Ploiești
2026,1041579,sparkly-pets-salon,https://www.top100ofromania.eu/company/1041579/sparkly-pets-salon,Sparkly Pets Salon,București
2026,1036135,artpet-frizerie-canina-petshop-vidra,https://www.top100ofromania.eu/company/1036135/artpet-frizerie-canina-petshop-vidra,ArtPet Frizerie Canina PetShop Vidra,Vidra
2026,5727355,glamore-pet-spa,https://www.top100ofromania.eu/company/5727355/glamore-pet-spa,Glamore Pet Spa,București
2026,1038179,elyze-grooming-coafor-pentru-catei,https://www.top100ofromania.eu/company/1038179/elyze-grooming-coafor-pentru-catei,Elyze Grooming - coafor pentru catei,Constanța
2026,1041077,salon-canin-paws-frizerie-canina,https://www.top100ofromania.eu/company/1041077/salon-canin-paws-frizerie-canina,"SALON CANIN ""PAWS"" - Frizerie Canina",Lugoj
2026,1038613,frizerie-caini-si-pisici-pet4carla,https://www.top100ofromania.eu/company/1038613/frizerie-caini-si-pisici-pet4carla,Frizerie caini si pisici Pet4Carla,Galați
2026,5726958,salon-de-cosmetica-canina-by-ricky,https://www.top100ofromania.eu/company/5726958/salon-de-cosmetica-canina-by-ricky,Salon de Cosmetică canină by Ricky,Mediaș
2026,1039804,mini-me-pet-salon-spa,https://www.top100ofromania.eu/company/1039804/mini-me-pet-salon-spa,Mini Me Pet Salon & Spa,București
2026,1035530,frizerie-canina-felina,https://www.top100ofromania.eu/company/1035530/frizerie-canina-felina,Frizerie canina & felina,Bucharest
2026,5726186,cris-vet-salon-frizerie-canina-sanandrei,https://www.top100ofromania.eu/company/5726186/cris-vet-salon-frizerie-canina-sanandrei,Cris Vet -Salon Frizerie canina Sanandrei,Sânandrei
2026,1041839,the-good-dog-salon,https://www.top100ofromania.eu/company/1041839/the-good-dog-salon,The Good Dog Salon,Cluj-Napoca
2026,7738334,puck-pure-joy-pet-grooming,https://www.top100ofromania.eu/company/7738334/puck-pure-joy-pet-grooming,Puck Pure Joy Pet Grooming,Constanța
2026,5045000,frizerie-canina-mariposa,https://www.top100ofromania.eu/company/5045000/frizerie-canina-mariposa,Frizerie canina Mariposa,RoÈu
2026,1035487,bella-frizerie-canina,https://www.top100ofromania.eu/company/1035487/bella-frizerie-canina,Bella Frizerie Canina,Brasov
2026,5725776,perfectsalonsara-salon-cosmetica-canina-felina,https://www.top100ofromania.eu/company/5725776/perfectsalonsara-salon-cosmetica-canina-felina,Perfectsalonsara salon cosmetica canina & felina,București
